time,expl,nn
89,4.352242849,4.429809073
90,4.357514224,4.429457468
91,4.349955443,4.428967432
92,4.329812868,4.428451859
93,4.371528357,4.428032168
94,4.399757105,4.427577603
95,4.390881312,4.426934716
96,4.298261219,4.426411383
97,4.335604945,4.42597478
98,4.30789003,4.425530375
99,4.266881353,4.42498805
100,4.336621803,4.424462928
101,4.36852952,4.423902755
102,4.363665783,4.423368369
103,4.297741542,4.422835283
104,4.256817614,4.422291148
105,4.335435431,4.421741856
106,4.325333719,4.421377431
107,4.305550926,4.420859373
108,4.312833191,4.42025544
109,4.344465851,4.419560384
110,4.291881329,4.419091395
111,4.347285126,4.41849744
112,4.321282942,4.417810172
113,4.327586018,4.417277654
114,4.357174621,4.416645439
115,4.311125625,4.416084918
116,4.3499466,4.415513557
117,4.334452931,4.415002172
118,4.292719969,4.41409593
119,4.32388327,4.413669552
120,4.331263387,4.41295242
121,4.329782445,4.412433569
122,4.336375045,4.411923554
123,4.387271447,4.411214297
124,4.339612429,4.410617294
125,4.330779164,4.409926581
126,4.329017439,4.409372389
127,4.373584629,4.408714994
128,4.37764971,4.408015637
129,4.334630595,4.407507266
130,4.384208182,4.406864316
131,4.357025805,4.406178337
132,4.376222433,4.405257527
133,4.334059389,4.404332469
134,4.346150889,4.40399623
135,4.372798337,4.403135574
136,4.345748402,4.402567544
137,4.29427091,4.40176374
138,4.308039237,4.401034906
139,4.341223136,4.400237812
140,4.342199388,4.399525853
141,4.352785021,4.398997006
142,4.285742638,4.398142439
143,4.376724949,4.397466326
144,4.344825034,4.396552187
145,4.343100724,4.395873441
146,4.315408649,4.395191175
147,4.30959834,4.394379926
148,4.332806356,4.393702568
149,4.321403357,4.392910153
150,4.34960454,4.39228039
151,4.341417105,4.392119191
152,4.347624675,4.392341968
153,4.335824189,4.392837567
154,4.360090768,4.393641256
155,4.342886307,4.394626122
156,4.326953642,4.395462595
157,4.326844709,4.39660051
158,4.328678381,4.397935662
159,4.341383303,4.399195006
160,4.370419924,4.400405614
161,4.351291345,4.40153558
162,4.360264491,4.403116393
163,4.386616617,4.404436306
164,4.331676321,4.405723138
165,4.384368665,4.407157257
166,4.368923806,4.408550193
167,4.368623807,4.410156897
168,4.377086568,4.411572775
169,4.379124789,4.41302991
170,4.344034939,4.414429772
171,4.353208718,4.415805211
172,4.38805281,4.417197986
173,4.387672052,4.418604422
174,4.421569937,4.420088762
175,4.413885731,4.421289824
176,4.443627547,4.422826297
177,4.455208297,4.424098223
178,4.431473734,4.42541584
179,4.45191383,4.426767737
180,4.450387305,4.428161522
181,4.448337225,4.429612538
182,4.420900095,4.431035244
183,4.41792045,4.432373108
184,4.433196725,4.433655559
185,4.442940145,4.434929256
186,4.414616207,4.436201764
187,4.416013855,4.437520702
188,4.428951728,4.438735662
189,4.411455551,4.440159906
190,4.452732372,4.441430752
191,4.430356845,4.442614986
192,4.426484144,4.443749639
193,4.434359031,4.444899398
194,4.427254316,4.445893505
195,4.428603669,4.447210134
196,4.452537121,4.448036356
197,4.47073117,4.449189833
198,4.448700008,4.450065047
