arxiv_id,entrypoint,documentclass,docclass_params,20,21,23,20<>21,20<>23
2306.01510,,,,,,,False,False
2306.00436,,,,,,,True,True
2306.00052,,,,,,,True,False
2306.00260,,,,,,,True,True
2306.04430,,,,,,,False,False
2306.00064,,,,,,,False,False
2306.00269,,,,,,,True,False
2306.00063,,,,,,,False,False
2306.01713,,,,,,,True,True
2306.03059,,,,,,,True,True
2306.00041,,,,,,,True,True
2306.05701,,,,,,,False,False
2306.00425,,,,,,,False,False
2306.00287,,,,,,,False,False
2306.00845,,,,,,,False,False
2306.00422,,,,,,,False,False
2306.00274,,,,,,,False,False
2306.06728,,,,,,,False,False
2306.02185,,,,,,,True,False
2306.00084,,,,,,,False,False
2306.13655,,,,,,,True,True
2306.00070,,,,,,,False,False
2306.00048,,,,,,,False,False
2306.00880,,,,,,,False,False
2306.00621,,,,,,,True,True
2306.00675,,,,,,,True,True
2306.00681,,,,,,,False,False
2306.00478,,,,,,,True,True
2306.01308,,,,,,,False,False
2306.10048,,,,,,,False,False
2306.00818,,,,,,,False,False
2306.02773,,,,,,,False,False
2306.00216,,,,,,,False,False
2306.01592,,,,,,,True,True
2306.00229,,,,,,,False,False
2306.00471,,,,,,,False,False
2306.01791,,,,,,,False,False
2306.01133,,,,,,,True,True
2306.00218,,,,,,,True,True
2306.08486,,,,,,,False,False
2306.00049,,,,,,,False,False
2306.02148,,,,,,,False,False
2306.00082,,,,,,,False,False
2306.01534,,,,,,,True,True
2306.00244,,,,,,,False,False
2306.00076,,,,,,,False,False
2306.00886,,,,,,,False,False
2306.03855,,,,,,,False,False
2306.00415,,,,,,,False,False
2306.00085,,,,,,,False,False
2306.00844,,,,,,,True,True
2306.00078,,,,,,,False,False
2306.00047,,,,,,,True,True
2306.00275,,,,,,,False,False
2306.01353,,,,,,,True,True
2306.01965,,,,,,,False,False
2306.00286,,,,,,,False,False
2306.01192,,,,,,,False,False
2306.00484,,,,,,,False,False
2306.00226,,,,,,,True,True
2306.01569,,,,,,,False,False
2306.05939,,,,,,,True,True
2306.01797,,,,,,,False,False
2306.00221,,,,,,,False,False
2306.03696,,,,,,,False,False
2306.00013,,,,,,,False,False
2306.00025,,,,,,,False,False
